step,reward
327,0.0
515,1.5
607,1.6666666269302368
725,1.5
988,1.5
1108,2.0
1198,1.8333333730697632
1318,1.5714285373687744
1410,1.5
1575,1.5
1665,1.5555555820465088
1755,1.399999976158142
1847,1.2727272510528564
1937,1.1666666269302368
2029,1.1666666269302368
2121,1.076923131942749
2260,1.0
2350,1.0
2539,1.0625
2627,1.0625
2717,1.0
2835,0.9444444179534912
2925,0.9473684430122375
3159,1.0499999523162842
3249,1.0499999523162842
3386,1.0
3478,1.0
3668,0.95652174949646
3857,1.0833333730697632
3949,1.0833333730697632
4114,1.0399999618530273
4281,1.076923131942749
4371,1.1111111640930176
4507,1.1071428060531616
4772,1.1071428060531616
4862,1.2068965435028076
5000,1.2000000476837158
5118,1.1935484409332275
5208,1.15625
5348,1.15625
5436,1.1515151262283325
5577,1.1176470518112183
5669,1.1142857074737549
5761,1.0833333730697632
5851,1.0833333730697632
5943,1.0540540218353271
6204,1.0526316165924072
6343,1.1282051801681519
6476,1.125
6641,1.125
6729,1.1463414430618286
6819,1.1190476417541504
6911,1.0930233001708984
7001,1.0681818723678589
7121,1.0681818723678589
7260,1.0888888835906982
7378,1.06521737575531
7500,1.063829779624939
7634,1.0833333730697632
7845,1.0833333730697632
8061,1.1428571939468384
8149,1.159999966621399
8362,1.1960784196853638
8529,1.2115384340286255
8621,1.2115384340286255
8806,1.1886792182922363
8946,1.2222222089767456
9063,1.218181848526001
9153,1.1964285373687744
9245,1.1964285373687744
9337,1.175438642501831
9425,1.1551724672317505
9513,1.1355931758880615
9603,1.1166666746139526
9788,1.1166666746139526
9878,1.1311475038528442
9970,1.1129032373428345
10133,1.1269841194152832
10321,1.140625
10586,1.140625
10725,1.1846153736114502
10910,1.2121212482452393
11000,1.1940298080444336
11135,1.191176414489746
11322,1.191176414489746
11508,1.2173912525177002
11600,1.2142857313156128
11690,1.1971831321716309
11780,1.1805555820465088
11918,1.1805555820465088
12008,1.1780822277069092
12100,1.162162184715271
12240,1.159999966621399
12474,1.1842105388641357
12608,1.1842105388641357
12698,1.1818181276321411
12786,1.1666666269302368
12949,1.1772152185440063
13085,1.1749999523162842
13175,1.1749999523162842
13340,1.1604938507080078
13505,1.1707316637039185
13627,1.192771077156067
13792,1.202380895614624
13928,1.202380895614624
14140,1.2117646932601929
14230,1.2209302186965942
14370,1.2183908224105835
14462,1.204545497894287
14626,1.204545497894287
14838,1.2134830951690674
14975,1.244444489479065
15168,1.2637362480163574
15260,1.25
15350,1.25
15484,1.2365591526031494
15714,1.2659574747085571
15836,1.2526315450668335
15926,1.25
16093,1.25
16183,1.2577319145202637
16273,1.2448979616165161
16361,1.2323232889175415
16453,1.2200000286102295
16543,1.2200000286102295
16633,1.2200000286102295
16871,1.2000000476837158
17007,1.2200000286102295
17143,1.2200000286102295
17308,1.2200000286102295
17400,1.2000000476837158
